id,age,sex,year,va_home,hs_gpa,col_gpa,skipped,hrs_hw,major,fav_sub,schooltype,greek,clubs,sports,hrs_workout,hrs_ptjob,morning,hrs_slept,daily_meals,days_drink,drugs,relationship,eat_out,hrs_vgames,enjoy_college,politics,legalize_weed,support_abortion,restrict_guns,too_much_ineq,climate_change_real,defund_police,religion,sibs,fav_season,handedness,fired_gun,fav_music,hrs_music,countries_visited,age_married,intro_v_extro,cats_v_dogs,peak,hogwarts_house,superpower
67,19,Female,Freshman,Hampton Roads,3.5999999,2,0,2,Business (Luter school),English,Public,Yes,3,0,1,20,Yes,6.5,2,2,Yes,Yes,1,0,1,5,3,5,5,4,3,5,Christian,3,Summer,Right,No,Pop,4,2,25,5,Cats,High School,Don't know/Don't like Harry Potter,Flight (the speed of the fastest bird)
68,18,Female,Freshman,Richmond Area,3.8,,0,2,Business (Luter school),History,Public,No,3,0,,15,No,7,3,0,No,No,3,0,1,5,,5,4,,3,5,Christian,2,Fall,Right,Yes,Classic Rock,15,3,26,1,Both,College,Hufflepuff,Flight (the speed of the fastest bird)
69,20,Male,Junior,Other part of VA,3.4000001,3.5,1,2,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",History,Public,No,0,0,5,0,No,6,3,0,No,Yes,0,4,4,2,1,1,3,2,1,2,Atheist or Agnostic,1,Fall,Right,Yes,Other,10,0,25,1,Both,College,Hufflepuff,Teleportation (30 second recharge time)
70,21,Female,Junior,Western VA,3.5,3.5,0,5.5,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",History,Public,No,0,0,0,0,No,8,2,3,No,No,1,0,2,2,1,1,2,2,1,5,Atheist or Agnostic,1,Fall,Right,Yes,Other,4,1,30,2,Both,College,Gryffindor,Flight (the speed of the fastest bird)
71,19,Male,Freshman,Hampton Roads,3.2,3.2,1,2.5,Business (Luter school),English,Public,Yes,0,1,6,0,No,5,2,1,Yes,No,2,1,4,5,1,2,4,3,2,5,Atheist or Agnostic,1,Summer,Right,No,Country or Folk,4,2,25,3,Dogs,College,Don't know/Don't like Harry Potter,Teleportation (30 second recharge time)
72,19,Male,Sophomore,Northern VA (DC Area),3.9000001,0,1,3.5,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",Other,Public,No,2,0,5,10,Yes,6,3,3,Yes,No,1,2,3,2,1,3,3,2,1,3,Christian,3,Spring,Right,No,Other,4,0,28,4,Cats,Elementary School,Slytherin,Super speed (like 1/2 the speed of the Flash and w/o the phasing and stuff)
73,19,Male,Freshman,Western VA,3.5,2.5,2,2,Business (Luter school),Math,Public,Yes,2,0,6,0,No,8,2,5,,No,5,1,1,4,3,5,5,4,3,5,Christian,2,Fall,Right,Yes,Country or Folk,8,4,25,,Dogs,College,Don't know/Don't like Harry Potter,Teleportation (30 second recharge time)
74,19,Male,Freshman,Northern VA (DC Area),4,3.7,0,2,Business (Luter school),Other,Private,No,3,0,6,0,Yes,8,,0,No,No,0,1,4,2,3,4,1,1,1,5,Christian,2,Spring,Right,Yes,Jazz or Blues,1,2,30,2,Dogs,College,Gryffindor,Flight (the speed of the fastest bird)
75,19,Male,Sophomore,Northern VA (DC Area),3.3,,2,2,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",History,Public,Yes,1,0,3,,Yes,6,2,4,No,Yes,1,2,2,2,2,2,2,3,1,5,Atheist or Agnostic,5,Summer,Left,Yes,Hiphop/rap,5,1,7,2,Dogs,College,Gryffindor,Super speed (like 1/2 the speed of the Flash and w/o the phasing and stuff)
76,19,Female,Freshman,Richmond Area,3.5,2.5,2,3,Business (Luter school),Math,Public,Yes,2,0,2,0,No,8,2,2,Yes,No,2,0,1,4,2,2,4,2,4,5,Christian,2,Summer,Right,Yes,Pop,7,2,25,4,Dogs,High School,Don't know/Don't like Harry Potter,Teleportation (30 second recharge time)
77,18,Male,Freshman,Northern VA (DC Area),2.5999999,2.7,2,2,Business (Luter school),Other,Public,No,1,0,4,0,No,10,,0,No,No,0,4,2,3,1,1,1,3,1,5,Atheist or Agnostic,1,Fall,Right,No,Classic Rock,4,0,30,2,Dogs,College,Don't know/Don't like Harry Potter,Teleportation (30 second recharge time)
